t,track_id,x_pix,y_pix,z_m,d_pix
1758630084.4110415,1,588,315,3.000,95
1758630084.4110415,2,502,412,2.767,103
1758630084.443406,1,596,314,2.969,96
1758630084.443406,2,508,411,2.615,109
1758630084.443406,3,508,344,5.182,55
1758630084.4914107,1,600,312,3.098,92
1758630084.4914107,2,511,407,2.591,110
1758630084.4914107,3,513,347,8.143,35
1758630084.5231407,1,602,311,3.167,90
1758630084.5231407,2,516,410,2.664,107
1758630084.5231407,3,524,355,5.938,48
1758630084.5713534,1,603,311,3.202,89
1758630084.5713534,2,515,405,2.591,110
1758630084.5713534,3,520,344,9.194,31
1758630084.6032205,1,602,310,3.202,89
1758630084.6032205,2,517,408,2.591,110
1758630084.6032205,3,534,330,4.071,70
1758630084.6508293,1,602,310,3.202,89
1758630084.6508293,2,517,409,2.568,111
1758630084.6508293,3,529,346,4.672,61
1758630084.6988583,1,602,310,3.202,89
1758630084.6988583,2,515,407,2.545,112
1758630084.6988583,3,528,345,4.597,62
1758630084.7328424,1,601,311,3.132,91
1758630084.7328424,2,513,408,2.545,112
1758630084.7328424,3,523,351,5.278,54
1758630084.7823637,1,599,311,3.032,94
1758630084.7823637,2,510,406,2.478,115
1758630084.7823637,3,518,342,8.906,32
1758630084.8130574,1,598,311,2.969,96
1758630084.8130574,2,509,408,2.522,113
1758630084.8130574,3,515,343,10.556,27
1758630084.8604095,1,596,310,2.969,96
1758630084.8604095,2,508,407,2.500,114
1758630084.8604095,3,518,352,5.700,50
1758630084.8919988,1,596,310,2.969,96
1758630084.8919988,2,509,407,2.568,111
1758630084.8919988,3,517,351,5.700,50
1758630084.941634,1,598,307,3.065,93
1758630084.941634,2,511,405,2.615,109
1758630084.941634,3,523,335,6.064,47
1758630084.9720929,1,601,303,3.202,89
1758630084.9720929,2,514,400,2.664,107
1758630084.9720929,3,533,322,4.071,70
1758630085.0205667,1,604,300,3.276,87
1758630085.0205667,2,518,398,2.568,111
1758630085.0205667,3,529,338,4.597,62
1758630085.069855,1,604,298,3.314,86
1758630085.069855,2,520,394,2.689,106
1758630085.069855,3,537,326,3.167,90
1758630085.1009135,1,605,298,3.314,86
1758630085.1009135,2,520,395,2.568,111
1758630085.1009135,3,537,325,3.202,89
1758630085.1506069,1,605,298,3.314,86
1758630085.1506069,2,517,393,2.500,114
1758630085.1506069,3,531,334,4.597,62
1758630085.1817763,1,602,299,3.202,89
1758630085.1817763,2,514,393,2.457,116
1758630085.1817763,3,525,342,5.377,53
1758630085.2284205,1,602,300,3.132,91
1758630085.2284205,2,514,397,2.639,108
1758630085.2284205,3,524,343,5.481,52
1758630085.259883,1,599,301,3.032,94
1758630085.259883,2,511,397,2.615,109
1758630085.259883,3,520,340,5.938,48
1758630085.3102474,1,597,300,3.032,94
1758630085.3102474,2,510,396,2.639,108
1758630085.3102474,3,519,342,5.816,49
1758630085.3562403,1,597,300,3.000,95
1758630085.3562403,2,511,397,2.615,109
1758630085.3562403,3,519,342,5.481,52
1758630085.3887546,1,599,300,3.065,93
1758630085.3887546,2,517,405,3.353,85
1758630085.3887546,3,520,342,5.816,49
1758630085.438674,1,601,300,3.202,89
1758630085.438674,2,515,395,2.568,111
1758630085.438674,3,521,338,5.700,50
1758630085.4683437,1,603,299,3.314,86
1758630085.4683437,2,519,395,2.689,106
1758630085.4683437,3,530,332,4.750,60
1758630085.5182219,1,606,299,3.393,84
1758630085.5182219,2,521,396,2.664,107
1758630085.5182219,3,532,332,4.524,63
1758630085.5182219,4,555,300,8.143,35
1758630085.5501044,1,601,299,2.879,99
1758630085.5501044,2,519,392,2.500,114
1758630085.5501044,3,533,333,4.524,63
1758630085.5182219,4,555,300,8.143,35
1758630085.596639,1,601,299,2.850,100
1758630085.596639,2,520,393,2.500,114
1758630085.596639,3,533,332,4.453,64
